MPAnoIso,Signal Peptide (PredSi),Signal Peptide (SignalP),Signal Peptide (Phobius),SPC,cirfessScore,Topology
A0A0B4J1U6,Yes,Yes,Yes,0,3,No
A0A0B4J1U7,Yes,Yes,Yes,0,3,No
A0A0B4J1V0,Yes,Yes,Yes,0,0,No
A0A0B4J1V1,Yes,Yes,Yes,0,4,No
A0A0B4J1V2,Yes,Yes,Yes,0,0,No
A0A0B4J1V6,Yes,Yes,Yes,0,0,No
A0A0B4J1X5,Yes,Yes,Yes,0,0,No
A0A0B4J1X8,Yes,Yes,Yes,0,0,No
A0A0B4J1Y8,Yes,Yes,Yes,0,3,No
A0A0B4J1Y9,Yes,Yes,Yes,0,0,No
A0A0B4J1Z2,Yes,Yes,Yes,0,0,No
A0A0B4J234,Yes,Yes,Yes,0,10,No
A0A0B4J235,No,Yes,Yes,0,6,No
A0A0B4J237,Yes,Yes,Yes,0,5,No
A0A0B4J238,No,Yes,No,0,0,No
A0A0B4J240,No,Yes,Yes,0,12,No
A0A0B4J241,Yes,Yes,Yes,0,6,No
A0A0B4J244,Yes,Yes,Yes,0,12,No
A0A0B4J245,Yes,Yes,Yes,0,5,No
A0A0B4J248,No,Yes,No,0,0,No
A0A0B4J249,Yes,Yes,Yes,0,4,No
A0A0B4J262,Yes,Yes,Yes,0,6,No
A0A0B4J263,No,Yes,Yes,0,12,No
A0A0B4J264,Yes,Yes,Yes,0,6,No
A0A0B4J265,No,Yes,Yes,0,2,No
A0A0B4J266,Yes,Yes,Yes,0,9,No
A0A0B4J268,Yes,Yes,Yes,0,9,No
A0A0B4J271,Yes,Yes,Yes,0,3,No
A0A0B4J272,Yes,Yes,Yes,0,0,No
A0A0B4J273,Yes,Yes,Yes,0,4,No
A0A0B4J274,No,Yes,Yes,0,5,No
A0A0B4J275,Yes,Yes,Yes,0,8,No
A0A0B4J276,Yes,Yes,Yes,0,3,No
A0A0B4J277,Yes,Yes,Yes,0,6,No
A0A0B4J279,Yes,Yes,Yes,0,10,No
A0A0B4J280,Yes,Yes,Yes,0,3,No
A0A0B4J2A2,No,No,No,0,0,No
A0A0B4J2D5,No,No,Yes,0,14,No
A0A0B4J2D9,Yes,Yes,Yes,0,0,No
A0A0B4J2E0,Yes,Yes,Yes,0,12,No
A0A0B4J2F0,Yes,No,Yes,0,0,No
A0A0B4J2F2,No,No,No,0,0,No
A0A0B4J2H0,Yes,Yes,Yes,0,0,No
A0A0C4DH24,Yes,Yes,Yes,0,0,No
A0A0C4DH25,Yes,Yes,Yes,0,0,No
A0A0C4DH29,Yes,Yes,Yes,0,0,No
A0A0C4DH31,Yes,Yes,Yes,0,0,No
A0A0C4DH32,Yes,Yes,Yes,0,0,No
A0A0C4DH33,Yes,Yes,Yes,0,0,No
A0A0C4DH34,Yes,Yes,Yes,0,0,No
A0A0C4DH38,Yes,Yes,Yes,0,0,No
A0A0C4DH39,Yes,Yes,Yes,0,0,No
A0A0C4DH41,Yes,Yes,Yes,0,0,No
A0A0C4DH42,Yes,Yes,Yes,0,0,No
A0A0C4DH43,Yes,Yes,Yes,0,5,No
A0A0C4DH55,Yes,Yes,Yes,0,0,No
A0A0C4DH59,Yes,Yes,Yes,0,9,No
A0A0C4DH62,No,No,No,0,0,No
A0A0C4DH67,Yes,Yes,Yes,0,0,No
A0A0C4DH68,Yes,Yes,Yes,0,0,No
A0A0C4DH69,Yes,Yes,Yes,0,0,No
A0A0C4DH72,Yes,Yes,Yes,0,0,No
A0A0C4DH73,Yes,Yes,Yes,0,0,No
A0A0C5B5G6,No,No,No,0,0,No
A0A0D9SF12,Yes,No,No,0,6,No
A0A0G2JMD5,No,No,No,0,0,No
A0A0G2JMI3,Yes,Yes,Yes,0,0,No
A0A0G2JS06,Yes,Yes,Yes,0,0,No
A0A0G2JTR4,No,No,No,0,0,No
A0A0G2JTZ2,No,No,No,0,0,No
A0A0G2JUG7,No,No,No,0,21,No
A0A0G2JV04,No,No,No,0,0,No
A0A0G2JXN2,No,No,No,0,0,No
A0A0G2JXT6,No,No,No,0,0,No
A0A0G2JZ79,No,No,No,0,0,No
A0A0G2K047,No,No,Yes,0,24,No
A0A0G2K0D3,No,No,No,0,0,No
A0A0G2K2P5,No,No,No,0,0,No
A0A0G2K309,No,No,No,0,0,No
A0A0G2K344,No,No,No,0,0,No
A0A0G2K6Z9,Yes,Yes,Yes,0,4,No
A0A0G2KBC9,Yes,Yes,Yes,0,40,Yes
A0A0J9YVY3,Yes,Yes,Yes,0,5,No
A0A0J9YWL9,No,No,No,0,0,No
A0A0J9YX35,Yes,Yes,Yes,0,0,No
A0A0J9YX75,Yes,Yes,Yes,0,6,No
A0A0J9YX94,No,No,No,0,0,No
A0A0J9YXA8,No,No,No,0,0,No
A0A0J9YXQ4,No,No,No,0,0,No
A0A0J9YXX1,Yes,Yes,Yes,0,6,No
A0A0J9YXY3,Yes,Yes,Yes,0,6,No
A0A0J9YY54,No,No,No,0,0,No
A0A0K0K1A3,Yes,Yes,Yes,0,0,No
A0A0K0K1A5,Yes,Yes,Yes,0,5,No
A0A0K0K1B3,Yes,Yes,Yes,0,5,No
A0A0K0K1C0,Yes,Yes,Yes,0,0,No
A0A0K0K1C4,Yes,Yes,Yes,0,3,No
A0A0K0K1D8,Yes,Yes,Yes,0,6,No
A0A0K0K1E9,Yes,Yes,Yes,0,0,No
A0A0K0K1G6,Yes,Yes,Yes,0,0,No
A0A0K0K1G8,Yes,Yes,Yes,0,0,No
A0A0M3U1B0,No,No,No,0,0,No
A0A0U1RPR8,No,Yes,No,0,26,Yes
A0A0U1RQ45,No,Yes,No,0,0,No
A0A0U1RQE8,No,No,No,0,0,No
A0A0U1RQF7,No,No,No,0,0,No
A0A0U1RQI7,No,No,No,0,0,No
A0A0U1RR11,Yes,No,Yes,0,0,No
A0A0U1RR37,No,No,No,0,0,No
A0A0U1RRE5,No,No,No,0,0,No
A0A0U1RRI6,Yes,No,No,0,0,No
A0A0U1RRK4,No,No,No,0,0,No
A0A0U1RRL7,No,No,No,0,0,No
A0A0U1RRN3,No,Yes,No,0,3,No
A0A140G945,No,No,No,0,0,No
A0A140LHF2,Yes,Yes,Yes,0,60,No
A0A140LHV9,No,Yes,Yes,0,0,No
A0A140LI88,No,No,No,0,0,No
A0A140LIA7,Yes,Yes,Yes,0,12,No
A0A140LIT1,No,Yes,Yes,0,12,No
A0A183,No,No,No,0,0,No
A0A1B0GQX3,No,Yes,No,0,0,No
A0A1B0GRQ0,No,Yes,No,0,0,No
A0A1B0GSN8,No,Yes,No,0,10,No
A0A1B0GST9,No,Yes,No,0,0,No
A0A1B0GSZ0,No,Yes,No,0,0,No
A0A1B0GTC6,Yes,Yes,Yes,0,0,No
A0A1B0GTD5,No,No,No,0,0,No
A0A1B0GTH6,No,No,No,0,0,No
A0A1B0GTI8,Yes,No,No,0,0,No
A0A1B0GTK4,Yes,Yes,No,0,3,No
A0A1B0GTK5,No,No,No,0,0,No
A0A1B0GTL2,Yes,Yes,Yes,0,6,No
A0A1B0GTQ4,Yes,No,Yes,0,0,Yes
A0A1B0GTR0,Yes,Yes,Yes,0,6,No
A0A1B0GTR3,No,No,No,0,0,No
A0A1B0GTR4,No,No,No,0,0,No
A0A1B0GTS1,No,No,No,0,0,No
A0A1B0GTU1,No,No,No,0,0,No
A0A1B0GTU2,Yes,No,No,0,0,No
A0A1B0GTW7,Yes,Yes,Yes,0,50,Yes
A0A1B0GTY4,Yes,Yes,Yes,0,0,No
A0A1B0GTZ2,No,No,No,0,0,No
A0A1B0GU29,No,No,No,0,0,No
A0A1B0GU33,No,No,No,0,0,No
A0A1B0GU71,No,No,No,0,0,No
A0A1B0GUA5,No,No,No,0,6,No
A0A1B0GUA6,No,No,No,0,0,No
A0A1B0GUA7,No,Yes,Yes,0,0,No
A0A1B0GUA9,No,No,No,0,0,No
A0A1B0GUC4,No,No,No,0,0,No
A0A1B0GUI7,No,No,No,0,0,No
A0A1B0GUJ8,No,No,No,0,0,No
A0A1B0GUQ0,No,No,No,0,0,No
A0A1B0GUS0,No,No,No,0,0,No
A0A1B0GUS4,No,No,No,0,0,No
A0A1B0GUT2,No,No,No,0,0,No
A0A1B0GUU1,No,No,No,0,6,No
A0A1B0GUV7,No,No,No,0,0,No
A0A1B0GUW6,Yes,No,No,0,32,No
A0A1B0GUW7,Yes,No,No,0,0,No
A0A1B0GUX0,No,No,No,0,0,No
A0A1B0GUY1,Yes,Yes,Yes,0,5,No
A0A1B0GV03,No,No,No,0,0,No
A0A1B0GV22,No,No,No,0,0,No
A0A1B0GV85,Yes,Yes,Yes,0,14,Yes
A0A1B0GV90,Yes,No,No,0,0,No
A0A1B0GVG4,Yes,No,Yes,0,6,No
A0A1B0GVG6,No,No,No,0,0,No
A0A1B0GVH4,Yes,Yes,Yes,0,10,No
A0A1B0GVH6,No,No,No,0,0,No
A0A1B0GVH7,No,No,No,0,0,No
A0A1B0GVK7,No,No,No,0,0,No
A0A1B0GVM5,No,No,No,0,0,No
A0A1B0GVM6,No,No,No,0,0,No
A0A1B0GVN3,No,Yes,Yes,0,0,No
A0A1B0GVQ0,Yes,No,No,0,0,No
A0A1B0GVS7,No,No,No,0,0,No
A0A1B0GVT2,Yes,No,No,0,0,No
A0A1B0GVV1,Yes,No,No,0,0,No
A0A1B0GVY4,Yes,No,Yes,0,5,No
A0A1B0GVZ2,No,No,No,0,0,No
A0A1B0GVZ6,No,No,No,0,0,No
A0A1B0GVZ9,No,No,No,0,2,No
A0A1B0GW35,No,No,No,0,0,No
A0A1B0GW64,Yes,No,No,0,4,No
A0A1B0GWB2,No,No,No,0,0,No
A0A1B0GWG4,Yes,No,No,0,10,No
A0A1B0GWH4,No,No,No,0,0,No
A0A1B0GWK0,No,No,No,0,0,No
A0A1B0GX31,Yes,Yes,Yes,0,0,No
A0A1B0GX49,Yes,Yes,Yes,0,0,No
A0A1B0GX51,Yes,Yes,Yes,0,0,No
A0A1B0GX68,Yes,Yes,Yes,0,6,No
A0A1B0GX78,Yes,Yes,Yes,0,6,No
A0A1B0GX95,Yes,Yes,Yes,0,0,No
A0A1B0GXF2,Yes,Yes,Yes,0,5,No
A0A1W2PP97,Yes,Yes,Yes,0,0,No
A0A1W2PPG7,No,No,No,0,0,No
A0A1W2PR19,No,No,No,0,0,No
A0A1W2PR48,No,No,No,0,0,No
A0A1W2PS18,No,No,No,0,0,No
A0A286YDK6,No,No,No,0,0,No
A0A286YF58,Yes,No,Yes,0,0,No
A0A2R8VHR8,No,No,No,0,0,No
A0A4Z3,No,No,No,0,15,No
A0A539,Yes,Yes,Yes,0,9,No
A0A576,Yes,Yes,Yes,0,6,No
A0A577,Yes,Yes,Yes,0,5,No
A0A578,Yes,Yes,Yes,0,3,No
A0A584,Yes,Yes,Yes,0,6,No
A0A589,Yes,Yes,Yes,0,9,No
A0A597,Yes,Yes,Yes,0,3,No
A0A599,Yes,Yes,Yes,0,3,No
A0A5A2,Yes,Yes,Yes,0,3,No
A0A5A6,Yes,Yes,Yes,0,0,No
A0A5B0,Yes,Yes,Yes,0,0,No
A0A5B6,Yes,Yes,Yes,0,3,No
A0A5B7,Yes,Yes,Yes,0,2,No
A0A5B9,No,No,No,1,12,No
A0AUP1,No,No,No,0,0,No
A0AUV4,No,No,No,0,0,No
A0AUZ9,No,No,No,0,0,No
A0AV02,No,No,No,3,12,No
A0AV96,No,No,No,0,0,No
A0AVF1,No,No,No,0,0,No
A0AVI2,No,No,No,2,156,No
A0AVI4,Yes,No,Yes,2,10,No
A0AVK6,No,No,No,0,0,No
A0AVT1,No,No,No,0,0,No
A0FGR8,No,No,No,2,85,No
A0FGR9,No,No,No,3,36,No
A0FKI7,No,No,No,0,12,No
A0JD32,Yes,Yes,Yes,0,6,No
A0JLT2,No,No,No,0,0,No
A0JLY1,No,No,No,0,0,No
A0JN27,No,No,No,0,0,No
A0JNT9,No,Yes,Yes,0,24,No
A0JNU3,No,No,No,0,0,No
A0JNW5,No,No,No,0,0,No
A0JP26,No,No,No,0,0,No
A0JP43,No,No,No,0,0,No
A0JPI9,No,No,No,0,0,No
A0JPJ7,No,No,No,0,0,No
A0JPK3,No,No,No,0,0,No
A0JPL0,No,No,No,0,0,No
A0JPM9,No,No,No,0,0,No
A0JPN1,No,No,No,0,0,No
A0JPN2,Yes,Yes,Yes,0,10,Yes
A0JPN3,Yes,Yes,Yes,0,24,No
A0JPN4,No,No,No,0,0,No
A0JPN6,No,No,No,0,0,No
A0JPP1,No,No,No,0,0,No
A0JPP4,Yes,Yes,Yes,0,27,No
A0JPP5,No,No,No,0,0,No
A0JPP7,No,No,No,0,0,No
A0JPP8,No,No,No,0,0,No
A0JPQ1,No,No,No,0,0,No
A0JPQ4,No,Yes,No,0,0,No
A0JPQ7,No,No,No,0,0,No
A0JPQ8,No,No,No,0,5,No
A0JPQ9,Yes,Yes,Yes,0,0,No
A0M8Q6,No,No,No,0,0,No
A0MZ66,No,No,No,0,0,No
A0MZ67,No,No,No,0,0,No
A0PG75,No,No,No,0,0,No
A0PJE2,No,No,No,0,0,No
A0PJK1,No,No,No,3,14,Yes
A0PJN4,No,No,No,0,0,No
A0PJW6,Yes,No,No,1,0,No
A0PJW8,No,No,No,0,0,No
A0PJX0,No,No,No,0,0,No
A0PJX2,No,No,No,0,0,No
A0PJX4,Yes,Yes,Yes,1,0,No
A0PJX8,No,No,No,2,0,No
A0PJY2,No,No,No,0,0,No
A0PJZ0,No,No,No,0,0,No
A0PJZ3,Yes,Yes,Yes,1,24,No
A0PK00,No,No,No,1,7,No
A0PK05,Yes,No,No,1,0,No
A0PK11,Yes,No,No,1,6,No
A0PK84,No,Yes,No,0,2,No
A0ZSE6,Yes,No,No,2,24,Yes
A1A4F0,No,No,No,0,6,No
A1A4G5,No,No,No,0,0,No
A1A4S6,No,No,No,0,0,No
A1A4V9,No,No,No,0,0,No
A1A4Y4,No,No,No,0,0,No
A1A519,No,No,No,0,0,No
A1A535,No,No,No,0,0,No
A1A546,No,No,No,0,0,No
A1A547,Yes,Yes,Yes,0,15,No
A1A580,No,No,No,0,0,No
A1A5B4,No,No,No,3,63,Yes
A1A5B6,No,No,No,0,0,No
A1A5C7,No,No,No,3,32,No
A1A5D9,No,No,No,0,0,No
A1A5P0,No,No,No,0,0,No
A1A5P2,No,No,No,0,0,No
A1A5P5,No,No,No,0,0,No
A1A5P9,No,No,No,0,0,No
A1A5Q0,No,No,No,0,0,No
A1A5Q4,No,No,No,0,0,No
A1A5Q5,No,No,No,0,0,No
A1A5Q6,No,No,No,0,0,No
A1A5Q7,No,No,No,0,0,No
A1A5R1,No,No,No,0,0,No
A1A5R7,No,No,No,0,0,No
A1A5R8,No,No,No,0,0,No
A1A5R9,No,No,No,0,0,No
A1A5S1,No,No,Yes,0,29,No
A1A5S3,No,Yes,No,0,22,Yes
A1BPI0,No,No,No,0,0,No
A1E959,Yes,Yes,Yes,0,0,No
A1E960,Yes,Yes,Yes,0,0,No
A1EC95,No,No,No,0,0,No
A1EGX6,No,No,No,0,0,No
A1IGU3,No,No,No,0,0,No
A1IGU4,No,No,No,0,0,No
A1IGU5,No,No,No,0,0,No
A1KXC4,Yes,Yes,Yes,0,0,Yes
A1KXE4,No,No,No,1,0,Yes
A1KXW8,No,No,No,0,0,No
A1KZ92,Yes,Yes,Yes,0,73,No
A1L020,No,No,No,0,0,No
A1L0T0,Yes,No,Yes,1,20,No
A1L0T3,No,Yes,No,0,0,No
A1L108,No,No,No,0,0,No
A1L112,No,No,No,0,0,No
A1L131,No,No,No,0,0,No
A1L134,No,Yes,No,0,0,No
A1L157,Yes,No,No,2,22,No
A1L162,No,No,No,0,0,No
A1L167,No,No,No,0,0,No
A1L168,No,No,No,0,0,No
A1L170,No,No,No,0,0,No
A1L188,No,No,No,0,0,No
A1L190,No,No,No,0,0,No
A1L1A6,No,No,No,1,20,No
A1L1I3,No,No,No,0,0,No
A1L1J6,No,No,No,0,0,No
A1L1J9,No,No,No,0,34,No
A1L1K1,No,No,No,0,0,No
A1L1K3,No,No,No,0,0,No
A1L1K4,No,No,No,0,0,No
A1L1K7,No,No,No,0,0,No
A1L1K8,No,No,Yes,0,4,No
A1L1L1,No,No,No,0,0,No
A1L1L2,No,No,No,0,35,No
A1L1L3,No,No,No,0,0,No
A1L1L7,No,No,No,0,0,No
A1L314,Yes,Yes,Yes,0,38,No
A1L317,No,No,No,0,0,No
A1L390,No,No,No,0,0,No
A1L3C1,No,No,No,0,0,No
A1L3T7,No,No,No,0,0,No
A1L3X0,No,No,No,1,0,No
A1L3X4,No,No,Yes,0,5,No
A1L429,No,No,No,0,0,No
A1L443,No,No,No,0,0,No
A1L453,Yes,Yes,Yes,0,17,No
A1L4H1,Yes,Yes,Yes,0,22,No
A1L4K1,No,No,No,0,0,No
A1L4L8,No,No,No,0,0,No
A1L4Q6,No,No,No,0,0,No
A1X283,No,No,No,0,0,No
A1XBS5,No,No,No,0,0,No
A1Y9I9,No,No,Yes,0,0,No
A1YIY0,Yes,Yes,Yes,0,28,Yes
A1YPR0,No,No,No,0,0,No
A1Z198,No,No,No,0,0,No
A1Z1Q3,No,No,No,0,0,No
A2A259,No,No,No,0,22,Yes
A2A288,No,No,No,0,0,No
A2A2V5,Yes,No,No,2,0,No
A2A2Y4,No,No,No,1,36,No
A2A2Z9,No,No,No,0,0,No
A2A368,No,No,No,0,0,No
A2A3K4,No,No,No,0,0,No
A2A3L6,No,No,No,0,0,No
A2A3N6,No,No,No,0,0,No
A2A3V1,No,No,No,0,0,No
A2A3V2,No,Yes,Yes,0,12,No
A2A432,No,No,No,0,0,No
A2A4P0,No,Yes,Yes,0,12,No
A2A559,Yes,Yes,Yes,0,12,No
A2A591,No,No,No,0,0,No
A2A5E6,No,No,No,0,0,No
A2A5H7,Yes,Yes,Yes,0,18,No
A2A5I3,Yes,Yes,Yes,0,18,No
A2A5K6,No,No,No,0,0,No
A2A5N8,No,No,No,0,0,No
A2A5R2,No,No,No,0,0,No
A2A5X4,No,No,No,0,0,No
A2A5X5,No,No,No,0,0,No
A2A5Z6,No,No,No,0,0,No
A2A690,No,No,No,0,0,No
A2A699,Yes,Yes,Yes,0,44,Yes
A2A6A1,No,No,No,0,0,No
A2A6C4,Yes,Yes,Yes,0,11,No
A2A6H3,No,No,No,0,0,No
A2A6M5,No,No,No,0,0,No
A2A6Q5,No,No,No,0,0,No
A2A6T1,No,No,No,0,0,No
A2A761,No,No,No,0,0,No
A2A791,No,No,No,0,0,No
A2A7Q9,No,No,No,0,12,No
A2A7S8,No,No,No,0,0,No
A2A7V7,Yes,Yes,Yes,0,18,Yes
A2A7Y5,No,No,No,0,0,No
A2A7Z8,No,Yes,Yes,0,20,No
A2A825,No,No,No,0,0,No
A2A863,Yes,Yes,Yes,0,110,Yes
A2A870,No,No,No,0,0,No
A2A884,No,No,No,0,0,No
A2A891,No,No,No,0,0,No
A2A8L1,No,No,No,0,0,No
A2A8L5,Yes,Yes,Yes,0,58,Yes
A2A8T7,No,Yes,No,0,0,No
A2A8U2,No,Yes,No,0,0,No
A2A8Z1,No,No,No,0,0,No
A2A935,No,No,No,0,0,No
A2A974,No,Yes,Yes,0,6,No
A2A995,No,No,No,0,0,No
A2A9A2,No,Yes,Yes,0,7,No
A2A9C3,No,Yes,No,0,0,No
A2A9F4,No,No,No,0,0,No
A2A9G7,No,No,No,0,0,No
A2A9I7,No,No,No,0,0,No
A2A9Q0,Yes,Yes,Yes,0,22,Yes
A2A9R3,No,No,No,0,0,No
A2A9T0,No,No,No,0,0,No
A2AA28,No,No,No,0,0,No
A2AAE1,No,No,No,0,530,No
A2AAJ9,No,No,No,0,0,No
A2AAX3,No,No,No,0,0,No
A2AAY5,No,No,No,0,0,No
A2AB59,No,No,No,0,0,No
A2ABU4,No,No,No,0,0,No
A2ABV5,No,No,No,0,0,No
A2AC93,No,No,No,0,0,No
A2ACG1,No,No,No,0,0,No
A2ACJ2,No,No,No,0,0,No
A2ACP1,No,No,No,0,0,No
A2AD83,No,No,No,0,0,No
A2ADA5,No,No,No,0,0,No
A2ADF7,No,Yes,Yes,0,4,No
A2ADU8,No,No,No,0,24,No
A2ADU9,No,Yes,No,0,16,No
A2ADY9,No,No,No,0,0,No
A2ADZ8,No,No,No,0,0,No
A2AE20,Yes,Yes,Yes,0,0,No
A2AE42,No,Yes,No,0,0,No
A2AED3,Yes,No,Yes,0,47,No
A2AEP0,Yes,Yes,Yes,0,6,No
A2AEV7,No,No,No,0,0,No
A2AEY4,No,No,No,0,0,No
A2AF47,No,No,No,0,0,No
A2AF53,No,Yes,No,0,6,No
A2AFE9,No,No,No,0,0,No
A2AFR3,No,No,No,0,0,No
A2AFS3,Yes,Yes,No,0,106,Yes
A2AG06,No,No,No,0,0,No
A2AG50,No,No,No,0,0,No
A2AG58,No,No,No,0,0,No
A2AGA4,No,No,No,0,12,No
A2AGB2,No,No,No,0,0,No
A2AGH6,No,No,No,0,0,No
A2AGL3,No,No,No,0,304,No
A2AGT5,No,No,No,0,0,No
A2AGX3,No,No,No,0,0,No
A2AH22,No,No,No,0,0,No
A2AHC3,No,No,No,0,0,No
A2AHG0,No,No,No,0,0,No
A2AHJ4,No,No,No,0,0,No
A2AHL1,No,No,No,0,54,Yes
A2AI05,No,No,Yes,0,10,No
A2AI08,No,No,No,0,0,No
A2AIG8,No,No,No,0,0,No
A2AIL4,No,No,No,0,0,No
A2AIP0,No,No,No,0,0,No
A2AIV2,No,No,No,0,0,No
A2AIV8,No,No,No,0,0,No
A2AIW0,No,No,No,0,0,No
A2AJ15,No,No,No,0,24,No
A2AJ76,Yes,Yes,Yes,0,229,No
A2AJ77,No,No,Yes,0,5,No
A2AJ88,No,No,No,0,26,No
A2AJA7,Yes,Yes,Yes,0,38,Yes
A2AJA9,No,No,No,0,0,No
A2AJB1,No,No,No,0,0,No
A2AJB2,No,No,No,0,0,No
A2AJB7,Yes,Yes,Yes,0,0,No
A2AJI0,No,No,No,0,0,No
A2AJK6,No,No,No,0,0,No
A2AJL3,No,No,No,0,0,No
A2AJN7,No,No,No,0,39,Yes
A2AJQ3,No,No,No,0,28,No
A2AJT4,No,No,No,0,0,No
A2AJT9,No,No,No,0,0,No
A2AJX4,Yes,Yes,Yes,0,238,No
A2AKB4,No,No,No,0,0,No
A2AKB9,No,No,No,0,0,No
A2AKE7,No,No,No,0,0,No
A2AKG8,No,No,No,0,0,No
A2AKK5,No,No,No,0,0,No
A2AKM2,No,No,No,0,0,No
A2AKQ0,No,No,No,0,6,No
A2AKQ8,No,No,No,0,0,No
A2AKX3,No,No,No,0,0,No
A2AKY4,No,No,No,0,0,No
A2AL36,No,No,No,0,0,No
A2ALI5,No,No,No,0,0,Yes
A2ALK8,No,No,No,0,0,No
A2ALS5,No,No,No,0,0,No
A2ALU4,No,No,No,0,0,No
A2ALV5,No,No,No,0,0,No
A2ALW5,Yes,Yes,Yes,0,0,No
A2AM05,No,No,No,0,0,No
A2AM29,No,No,No,0,0,No
A2AMM0,No,No,No,0,0,No
A2AMT1,No,No,No,0,0,No
A2AMZ4,No,No,No,0,0,No
